2025-07-18 16:23:05,395 DEBUG    root            Loaded Command Group: ['gcloud', 'services']
2025-07-18 16:23:05,417 DEBUG    root            Loaded Command Group: ['gcloud', 'services', 'list']
2025-07-18 16:23:05,422 DEBUG    root            Running [gcloud.services.list] with arguments: [--enabled: "True", --project: "formidable-bus-465107-j2"]
2025-07-18 16:23:05,487 DEBUG    root            Chosen display Format:
          table(
            config.name:label=NAME:sort=1,
            config.title
          )
        
2025-07-18 16:23:05,489 INFO     root            Display format: "
          table(
            config.name:label=NAME:sort=1,
            config.title
          )
        "
2025-07-18 16:23:05,495 DEBUG    urllib3.connectionpool Starting new HTTPS connection (1): serviceusage.googleapis.com:443
2025-07-18 16:23:05,757 DEBUG    urllib3.connectionpool https://serviceusage.googleapis.com:443 "GET /v1/projects/formidable-bus-465107-j2/services?alt=json&filter=state%3AENABLED&pageSize=200 HTTP/11" 200 None
2025-07-18 16:23:06,079 INFO     ___FILE_ONLY___ NAME
2025-07-18 16:23:06,087 INFO     ___FILE_ONLY___                                 
2025-07-18 16:23:06,087 INFO     ___FILE_ONLY___ TITLE
2025-07-18 16:23:06,087 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,088 INFO     ___FILE_ONLY___ aiplatform.googleapis.com
2025-07-18 16:23:06,088 INFO     ___FILE_ONLY___            
2025-07-18 16:23:06,088 INFO     ___FILE_ONLY___ Vertex AI API
2025-07-18 16:23:06,088 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,088 INFO     ___FILE_ONLY___ analyticshub.googleapis.com
2025-07-18 16:23:06,088 INFO     ___FILE_ONLY___          
2025-07-18 16:23:06,088 INFO     ___FILE_ONLY___ Analytics Hub API
2025-07-18 16:23:06,088 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,089 INFO     ___FILE_ONLY___ bigquery.googleapis.com
2025-07-18 16:23:06,089 INFO     ___FILE_ONLY___              
2025-07-18 16:23:06,089 INFO     ___FILE_ONLY___ BigQuery API
2025-07-18 16:23:06,089 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,089 INFO     ___FILE_ONLY___ bigqueryconnection.googleapis.com
2025-07-18 16:23:06,089 INFO     ___FILE_ONLY___    
2025-07-18 16:23:06,089 INFO     ___FILE_ONLY___ BigQuery Connection API
2025-07-18 16:23:06,089 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,090 INFO     ___FILE_ONLY___ bigquerydatapolicy.googleapis.com
2025-07-18 16:23:06,090 INFO     ___FILE_ONLY___    
2025-07-18 16:23:06,090 INFO     ___FILE_ONLY___ BigQuery Data Policy API
2025-07-18 16:23:06,090 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,090 INFO     ___FILE_ONLY___ bigquerymigration.googleapis.com
2025-07-18 16:23:06,090 INFO     ___FILE_ONLY___     
2025-07-18 16:23:06,090 INFO     ___FILE_ONLY___ BigQuery Migration API
2025-07-18 16:23:06,091 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,091 INFO     ___FILE_ONLY___ bigqueryreservation.googleapis.com
2025-07-18 16:23:06,091 INFO     ___FILE_ONLY___   
2025-07-18 16:23:06,091 INFO     ___FILE_ONLY___ BigQuery Reservation API
2025-07-18 16:23:06,091 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,091 INFO     ___FILE_ONLY___ bigquerystorage.googleapis.com
2025-07-18 16:23:06,091 INFO     ___FILE_ONLY___       
2025-07-18 16:23:06,091 INFO     ___FILE_ONLY___ BigQuery Storage API
2025-07-18 16:23:06,091 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,092 INFO     ___FILE_ONLY___ cloudapis.googleapis.com
2025-07-18 16:23:06,092 INFO     ___FILE_ONLY___             
2025-07-18 16:23:06,092 INFO     ___FILE_ONLY___ Google Cloud APIs
2025-07-18 16:23:06,093 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,094 INFO     ___FILE_ONLY___ cloudtrace.googleapis.com
2025-07-18 16:23:06,094 INFO     ___FILE_ONLY___            
2025-07-18 16:23:06,094 INFO     ___FILE_ONLY___ Cloud Trace API
2025-07-18 16:23:06,094 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,094 INFO     ___FILE_ONLY___ compute.googleapis.com
2025-07-18 16:23:06,094 INFO     ___FILE_ONLY___               
2025-07-18 16:23:06,094 INFO     ___FILE_ONLY___ Compute Engine API
2025-07-18 16:23:06,095 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,095 INFO     ___FILE_ONLY___ datacatalog.googleapis.com
2025-07-18 16:23:06,095 INFO     ___FILE_ONLY___           
2025-07-18 16:23:06,098 INFO     ___FILE_ONLY___ Google Cloud Data Catalog API
2025-07-18 16:23:06,098 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,098 INFO     ___FILE_ONLY___ dataform.googleapis.com
2025-07-18 16:23:06,098 INFO     ___FILE_ONLY___              
2025-07-18 16:23:06,099 INFO     ___FILE_ONLY___ Dataform API
2025-07-18 16:23:06,099 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,099 INFO     ___FILE_ONLY___ dataplex.googleapis.com
2025-07-18 16:23:06,100 INFO     ___FILE_ONLY___              
2025-07-18 16:23:06,100 INFO     ___FILE_ONLY___ Cloud Dataplex API
2025-07-18 16:23:06,100 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,100 INFO     ___FILE_ONLY___ dataproc-control.googleapis.com
2025-07-18 16:23:06,100 INFO     ___FILE_ONLY___      
2025-07-18 16:23:06,100 INFO     ___FILE_ONLY___ Cloud Dataproc Control API
2025-07-18 16:23:06,100 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,100 INFO     ___FILE_ONLY___ dataproc.googleapis.com
2025-07-18 16:23:06,101 INFO     ___FILE_ONLY___              
2025-07-18 16:23:06,101 INFO     ___FILE_ONLY___ Cloud Dataproc API
2025-07-18 16:23:06,101 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,101 INFO     ___FILE_ONLY___ dataprocrm.googleapis.com
2025-07-18 16:23:06,101 INFO     ___FILE_ONLY___            
2025-07-18 16:23:06,101 INFO     ___FILE_ONLY___ Dataproc Resource Manager API
2025-07-18 16:23:06,101 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,101 INFO     ___FILE_ONLY___ datastore.googleapis.com
2025-07-18 16:23:06,101 INFO     ___FILE_ONLY___             
2025-07-18 16:23:06,101 INFO     ___FILE_ONLY___ Cloud Datastore API
2025-07-18 16:23:06,102 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,102 INFO     ___FILE_ONLY___ logging.googleapis.com
2025-07-18 16:23:06,102 INFO     ___FILE_ONLY___               
2025-07-18 16:23:06,102 INFO     ___FILE_ONLY___ Cloud Logging API
2025-07-18 16:23:06,102 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,102 INFO     ___FILE_ONLY___ monitoring.googleapis.com
2025-07-18 16:23:06,102 INFO     ___FILE_ONLY___            
2025-07-18 16:23:06,103 INFO     ___FILE_ONLY___ Cloud Monitoring API
2025-07-18 16:23:06,103 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,103 INFO     ___FILE_ONLY___ notebooks.googleapis.com
2025-07-18 16:23:06,103 INFO     ___FILE_ONLY___             
2025-07-18 16:23:06,103 INFO     ___FILE_ONLY___ Notebooks API
2025-07-18 16:23:06,103 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,103 INFO     ___FILE_ONLY___ oslogin.googleapis.com
2025-07-18 16:23:06,104 INFO     ___FILE_ONLY___               
2025-07-18 16:23:06,104 INFO     ___FILE_ONLY___ Cloud OS Login API
2025-07-18 16:23:06,105 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,105 INFO     ___FILE_ONLY___ servicemanagement.googleapis.com
2025-07-18 16:23:06,105 INFO     ___FILE_ONLY___     
2025-07-18 16:23:06,105 INFO     ___FILE_ONLY___ Service Management API
2025-07-18 16:23:06,105 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,105 INFO     ___FILE_ONLY___ serviceusage.googleapis.com
2025-07-18 16:23:06,105 INFO     ___FILE_ONLY___          
2025-07-18 16:23:06,105 INFO     ___FILE_ONLY___ Service Usage API
2025-07-18 16:23:06,106 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,106 INFO     ___FILE_ONLY___ sql-component.googleapis.com
2025-07-18 16:23:06,106 INFO     ___FILE_ONLY___         
2025-07-18 16:23:06,106 INFO     ___FILE_ONLY___ Cloud SQL
2025-07-18 16:23:06,106 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,106 INFO     ___FILE_ONLY___ storage-api.googleapis.com
2025-07-18 16:23:06,107 INFO     ___FILE_ONLY___           
2025-07-18 16:23:06,107 INFO     ___FILE_ONLY___ Google Cloud Storage JSON API
2025-07-18 16:23:06,107 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,107 INFO     ___FILE_ONLY___ storage-component.googleapis.com
2025-07-18 16:23:06,107 INFO     ___FILE_ONLY___     
2025-07-18 16:23:06,107 INFO     ___FILE_ONLY___ Cloud Storage
2025-07-18 16:23:06,107 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,107 INFO     ___FILE_ONLY___ storage.googleapis.com
2025-07-18 16:23:06,108 INFO     ___FILE_ONLY___               
2025-07-18 16:23:06,108 INFO     ___FILE_ONLY___ Cloud Storage API
2025-07-18 16:23:06,108 INFO     ___FILE_ONLY___ 

2025-07-18 16:23:06,109 DEBUG    root            SDK update checks are disabled.
