sepal_length,sepal_width,petal_length,petal_width,species,sample_id,event_timestamp
5.1,3.5,1.4,0.2,setosa,0,2025-07-07 17:30:07.310363+00:00
4.9,3.0,1.4,0.2,setosa,1,2025-07-01 17:30:07.310681+00:00
4.7,3.2,1.3,0.2,setosa,2,2025-07-12 17:30:07.310794+00:00
4.6,3.1,1.5,0.2,setosa,3,2025-07-14 17:30:07.310882+00:00
5.0,3.6,1.4,0.2,setosa,4,2025-07-09 17:30:07.310996+00:00
5.4,3.9,1.7,0.4,setosa,5,2025-07-04 17:30:07.311116+00:00
4.6,3.4,1.4,0.3,setosa,6,2025-07-02 17:30:07.311197+00:00
5.0,3.4,1.5,0.2,setosa,7,2025-07-15 17:30:07.311273+00:00
4.4,2.9,1.4,0.2,setosa,8,2025-07-07 17:30:07.311347+00:00
4.9,3.1,1.5,0.1,setosa,9,2025-06-26 17:30:07.311425+00:00
5.4,3.7,1.5,0.2,setosa,10,2025-06-20 17:30:07.311500+00:00
4.8,3.4,1.6,0.2,setosa,11,2025-06-28 17:30:07.311572+00:00
4.8,3.0,1.4,0.1,setosa,12,2025-06-18 17:30:07.311657+00:00
4.3,3.0,1.1,0.1,setosa,13,2025-06-23 17:30:07.311769+00:00
5.8,4.0,1.2,0.2,setosa,14,2025-07-08 17:30:07.311849+00:00
5.7,4.4,1.5,0.4,setosa,15,2025-06-18 17:30:07.311922+00:00
5.4,3.9,1.3,0.4,setosa,16,2025-07-12 17:30:07.311994+00:00
5.1,3.5,1.4,0.3,setosa,17,2025-06-24 17:30:07.312065+00:00
5.7,3.8,1.7,0.3,setosa,18,2025-06-21 17:30:07.312137+00:00
5.1,3.8,1.5,0.3,setosa,19,2025-06-20 17:30:07.312208+00:00
5.4,3.4,1.7,0.2,setosa,20,2025-06-20 17:30:07.312280+00:00
5.1,3.7,1.5,0.4,setosa,21,2025-06-21 17:30:07.312354+00:00
4.6,3.6,1.0,0.2,setosa,22,2025-07-09 17:30:07.312701+00:00
5.1,3.3,1.7,0.5,setosa,23,2025-06-21 17:30:07.312819+00:00
4.8,3.4,1.9,0.2,setosa,24,2025-07-07 17:30:07.313011+00:00
5.0,3.0,1.6,0.2,setosa,25,2025-07-13 17:30:07.313125+00:00
5.0,3.4,1.6,0.4,setosa,26,2025-07-05 17:30:07.313211+00:00
5.2,3.5,1.5,0.2,setosa,27,2025-06-19 17:30:07.313285+00:00
5.2,3.4,1.4,0.2,setosa,28,2025-07-10 17:30:07.313361+00:00
4.7,3.2,1.6,0.2,setosa,29,2025-06-28 17:30:07.313435+00:00
4.8,3.1,1.6,0.2,setosa,30,2025-07-08 17:30:07.313508+00:00
5.4,3.4,1.5,0.4,setosa,31,2025-06-22 17:30:07.313580+00:00
5.2,4.1,1.5,0.1,setosa,32,2025-07-15 17:30:07.313666+00:00
5.5,4.2,1.4,0.2,setosa,33,2025-06-28 17:30:07.313739+00:00
4.9,3.1,1.5,0.1,setosa,34,2025-06-30 17:30:07.313812+00:00
5.0,3.2,1.2,0.2,setosa,35,2025-07-07 17:30:07.313884+00:00
5.5,3.5,1.3,0.2,setosa,36,2025-07-07 17:30:07.313955+00:00
4.9,3.1,1.5,0.1,setosa,37,2025-07-06 17:30:07.314034+00:00
4.4,3.0,1.3,0.2,setosa,38,2025-07-10 17:30:07.314108+00:00
5.1,3.4,1.5,0.2,setosa,39,2025-07-02 17:30:07.314179+00:00
5.0,3.5,1.3,0.3,setosa,40,2025-07-11 17:30:07.314251+00:00
4.5,2.3,1.3,0.3,setosa,41,2025-07-17 17:30:07.314323+00:00
4.4,3.2,1.3,0.2,setosa,42,2025-07-13 17:30:07.314398+00:00
5.0,3.5,1.6,0.6,setosa,43,2025-06-28 17:30:07.314470+00:00
5.1,3.8,1.9,0.4,setosa,44,2025-06-27 17:30:07.314541+00:00
4.8,3.0,1.4,0.3,setosa,45,2025-07-05 17:30:07.314620+00:00
5.1,3.8,1.6,0.2,setosa,46,2025-07-02 17:30:07.314694+00:00
